EPM,Plant,City,State,file_name,page,stream_class,flow_gpm,dropdown_capacity_mgy,implied_mgy_14pct_beer,implied_mgy_15pct_beer,implied_mgy_16pct_beer,pct_diff_vs_capacity_at_15pct,source_line
3621,Green Plains Superior,Superior,IA,13-TV-005R2.pdf,22,ethanol_or_process,94.0,68.5,,,,,EU-24 Molecular Sieves 1 & 2 Ethanol 94 gpm
3621,Green Plains Superior,Superior,IA,13-TV-005R2.pdf,22,unknown,2619.0,68.5,,,,,"EU-25 Evaporator Stillage 2,619 gpm"
3621,Green Plains Superior,Superior,IA,13-TV-005R2.pdf,22,unknown,165.0,68.5,,,,,EU-22 Side Stripper 165 gpm
3621,Green Plains Superior,Superior,IA,13-TV-005R2.pdf,22,unknown,135.0,68.5,,,,,EU-28 Centrifuge #1 Stillage 135 gpm
3621,Green Plains Superior,Superior,IA,13-TV-005R2.pdf,22,unknown,135.0,68.5,,,,,EU-29 Centrifuge #2 Stillage 135 gpm
3621,Green Plains Superior,Superior,IA,13-TV-005R2.pdf,22,unknown,135.0,68.5,,,,,EU-30 Centrifuge #3 Stillage 135 gpm
3621,Green Plains Superior,Superior,IA,13-TV-005R2.pdf,22,unknown,135.0,68.5,,,,,EU-31 Centrifuge #4 Stillage 135 gpm
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,12,beer,3000.0,207.0,220.752,236.51999999999998,252.288,14.260869565217382,"EU-P55F Beer Column Beer 3,000 gal/min"
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,12,beer,3000.0,207.0,220.752,236.51999999999998,252.288,14.260869565217382,"EU-P55G Side Stripper Beer 3,000 gal/min"
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,12,beer,3000.0,207.0,220.752,236.51999999999998,252.288,14.260869565217382,"EU-P55H Rectifier Column Beer 3,000 gal/min"
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,12,beer,3000.0,207.0,220.752,236.51999999999998,252.288,14.260869565217382,"EU-P55I 190 Proof Condenser Beer 3,000 gal/min"
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,13,beer,3000.0,207.0,220.752,236.51999999999998,252.288,14.260869565217382,"EU-P55f Beer Column Beer 3,000 gal/min DDGS Dryer C"
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,13,beer,3000.0,207.0,220.752,236.51999999999998,252.288,14.260869565217382,"EU-P55g Side Stripper Beer 3,000 gal/min (EU P10c) of"
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,13,beer,3000.0,207.0,220.752,236.51999999999998,252.288,14.260869565217382,"EU-P55h Rectifier Column Beer 3,000 gal/min DDGS Dryer D"
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,13,beer,3000.0,207.0,220.752,236.51999999999998,252.288,14.260869565217382,"EU-P55i 190 Proof Condenser Beer 3,000 gal/min (EU P10d) and"
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,12,ethanol_or_process,550.0,207.0,,,,,EU-P55J Molecular Sieve 190 Proof Ethanol 550 gal/min
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,12,ethanol_or_process,550.0,207.0,,,,,EU-P55K 200 Proof Condenser Ethanol 550 gal/min
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,13,ethanol_or_process,550.0,207.0,,,,,EU-P55j Molecular Sieve 190 Proof Ethanol 550 gal/min TO (C11)
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,13,ethanol_or_process,550.0,207.0,,,,,EU-P55k 200 Proof Condenser Ethanol 550 gal/min
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,12,thin_stillage,3000.0,207.0,,,,,"EU-P55N Evaporators Thin Stillage 3,000 gal/min"
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,13,thin_stillage,3000.0,207.0,,,,,"EU-P55n Evaporators Thin Stillage 3,000 gal/min"
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,12,unknown,1500.0,207.0,,,,,"EU-P55L Centrate Tank #1 Centrifuge Feed 1,500 gal/min"
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,12,unknown,1500.0,207.0,,,,,"EU-P55M Centrate Tank #2 Centrifuge Feed 1,500 gal/min"
3632,Homeland Energy Solutions LLC,Lawler,IA,14-TV-001R2.pdf,13,unknown,1500.0,207.0,,,,,"EU-P55m Centrate Tank #2 Centrifuge Feed 1,500 gal/min"
