EPM,Plant,City,capacity_mgy,dryer_type,dryer_type_from_technology_flags,fiber_to_ethanol_technology,fiber_to_ethanol_source,operating_permit_source,dryer_mmbtu_hr,boiler_mmbtu_hr,rto_thermal_oxidizer_mmbtu_hr,waste_heat_boiler_mmbtu_hr,total_thermal_mmbtu_hr,total_thermal_mmbtu_hr_per_mgy,estimated_btu_per_gal_from_heat_input,white_fox_membrane,molecular_sieve_only,chp,waste_heat_recovery,fiber_to_ethanol,d3_capable,generic_fiber_separation,high_protein,corn_oil_extraction,edeniq,fluid_quip,icm_selective_milling,icm_fst,co2_capture,rng_biogas,program,pathway_class,ci,feedstock,coproduct_type,source_date,source_detail
3660,Plymouth Energy LLC,Merrill,70.0,Ring Dryer,Ring Dryer,,,3660_plymouthtxt.txt,,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,WA,corn starch,65.29,corn starch,,Q1 2025,"Plymouth Energy LLC (5474; 70183). Midwest Corn Starch Ethanol, Dry Mill, Wet DGS, Corn Oil and Syrup; NG, Grid Electricity; Starch Ethanol produced in Merrill, Iowa and transported by Rail to Washington"
3660,Plymouth Energy LLC,Merrill,70.0,Ring Dryer,Ring Dryer,,,3660_plymouthtxt.txt,,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,CFA,corn starch,35.0,Corn,,15-01-2024,FINAL
3662,Poet Biorefinning-Arthur LLC,Arthur,132.0,DDGS Dryer,Rotary Dryer,BPX,tech_flags.fiber_technology,10-TV-008R2.pdf,,147.4,54.4,147.4,201.8,1.5287878787878788,13392.181818181818,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CA,fiber/cellulosic,26.89,Corn Fiber (012),,2026-05-19,
3662,Poet Biorefinning-Arthur LLC,Arthur,132.0,DDGS Dryer,Rotary Dryer,BPX,tech_flags.fiber_technology,10-TV-008R2.pdf,,147.4,54.4,147.4,201.8,1.5287878787878788,13392.181818181818,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CA,corn starch,66.66,Corn (009),WDGS,2026-05-19,
3662,Poet Biorefinning-Arthur LLC,Arthur,132.0,DDGS Dryer,Rotary Dryer,BPX,tech_flags.fiber_technology,10-TV-008R2.pdf,,147.4,54.4,147.4,201.8,1.5287878787878788,13392.181818181818,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CFA,corn starch,39.0,Corn,,27-06-2024,TEMPORARY
3663,Poet Biorefinning-Ashton LLC,Ashton,68.0,DDGS Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,14-TV-006.pdf,,,,,,,,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,CA,fiber/cellulosic,25.42,Corn Fiber (012),,2026-05-19,
3663,Poet Biorefinning-Ashton LLC,Ashton,68.0,DDGS Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,14-TV-006.pdf,,,,,,,,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,CA,corn starch,65.0,Corn (009),WDGS,2026-05-19,
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,65.0,DDGS Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,07-TV-001R3.pdf,,,,,,,,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,CA,fiber/cellulosic,26.63,Corn Fiber (012),DDGS + WDGS,2026-05-19,
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,65.0,DDGS Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,07-TV-001R3.pdf,,,,,,,,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,CA,corn starch,66.28,Corn (009),WDGS,2026-05-19,
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,65.0,DDGS Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,07-TV-001R3.pdf,,,,,,,,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,OR,fiber/cellulosic,28.46,Fiber,,2025-07-10,
