technology,count,avg_btu_per_gal,median_btu_per_gal,min_btu_per_gal,max_btu_per_gal,std_btu_per_gal
ICM,62,21512.764694052257,22001.27914223763,12946.439502450055,28433.512465672284,3725.1747885612767
Poet,23,23415.583170826056,23786.01305957739,15895.259140595554,30199.52255308456,3812.5427497945057
Delta-T,9,20499.625940810354,18234.816434225406,13997.901028485272,27789.0320392009,4496.461618794817
Vogelbusch,4,24325.849339877142,25680.50910792393,13334.8609701644,32607.51817349631,8024.564428030528
Lurgi,2,18419.91156380998,18419.91156380998,14446.099384344767,22393.723743275194,5619.819078523093
Wheat,1,18410.837816537023,18410.837816537023,18410.837816537023,18410.837816537023,
