,CA LCFS,OR LCFS,WA LCFS,CFR,B.C. Carbon
CA LCFS,1.0,0.767,0.625,0.418,0.808
OR LCFS,0.767,1.0,0.567,0.815,0.957
WA LCFS,0.625,0.567,1.0,0.782,-0.987
CFR,0.418,0.815,0.782,1.0,0.47
B.C. Carbon,0.808,0.957,-0.987,0.47,1.0
