fiber_technology,facility_id,plant_name,ownership,state,city,rows,min_ci,max_ci,avg_ci
EDENIQ,70279,Kansas Ethanol LLC,Kansas Ethanol,KS,Lyons,1,21.93,21.93,21.93
EDENIQ,70326,Sothwest Iowa Renewable,SIRE,IA,Council Bluffs,1,23.33,23.33,23.33
EDENIQ,70722,Huron Energy LLC,Glacial Lakes Cooperative,SD,Huron,1,29.31,29.31,29.31
EDENIQ,70884,The Andersons Marathon Holdings LLC,The Andersons,IA,Denison,1,26.38,26.38,26.38
EDENIQ,71287,Elite Octane LLC,Elite Octane,IA,Atlantic,1,28.35,28.35,28.35
EDENIQ,72943,Kappa Partners Aurora LLC,"KAAPA Ethanol & Grain, LLC.",NE,Aurora,1,27.39,27.39,27.39
EDENIQ,73561,Sandhills Renewable Energy LLC,Husker Ag,NE,Atkinson,1,26.66,26.66,26.66
POET,71681,Poet Biorefining-Fairmont,POET Biorefining,NE,Fairmont,1,30.1,30.1,30.1
POET,71684,Poet Biorefinning-Iowa Falls LLC,POET Biorefining,IA,Iowa Falls,1,25.25,25.25,25.25
Proprietary Process,70485,Poet Biorefining-Cloverdale,POET Biorefining,IN,Cloverdale,1,31.05,31.05,31.05
Proprietary Process,71683,Poet Biorefinning-Fairbank,POET Biorefining,IA,Fairbank,1,25.94,25.94,25.94
Proprietary Process,71685,Poet Biorefinning-Menlo,POET Biorefining,IA,Menlo,1,26.6,26.6,26.6
Proprietary Process,71686,Poet Biorefinning-Shell Rock LLC,POET Biorefining,IA,Shell Rock,1,28.31,28.31,28.31
SOLITON,70042,Valero Renewable Fuels LLC,Valero Renewables,IA,Charles City,1,25.25,25.25,25.25
SOLITON,70043,Valero Renewable Fuels LLC,Valero Renewables,IA,Ft. Dodge,1,26.8,26.8,26.8
SOLITON,70079,Kappa Ethanol LLC,"KAAPA Ethanol & Grain, LLC.",NE,Minden,1,23.0,23.0,23.0
SOLITON,70082,Denco II LLC,DENCO II,MN,Morris,1,30.3,30.3,30.3
SOLITON,70098,Kappa Ethanol Ravenna LLC,"KAAPA Ethanol & Grain, LLC.",NE,Ravenna,1,25.15,25.15,25.15
SOLITON,70153,Mid America Agri Products LLC,Standard Ethanol,NE,Madrid,1,27.99,27.99,27.99
SOLITON,70196,Valero Renewable Fuels LLC,Valero Renewables,IN,Linden,1,26.35,26.35,26.35
SOLITON,70235,Highwater Ethanol LLC,High Water Ethanol,MN,Lamberton,1,25.13,25.13,25.13
SOLITON,70275,Valero Renewable Fuels LLC,Valero Renewables,IA,Hartley,1,25.15,25.15,25.15
SOLITON,70276,Valero Renewable Fuels LLC,Valero Renewables,MN,Welcome,1,25.28,25.28,25.28
SOLITON,70283,Valero Renewable Fuels,Valero Renewables,NE,Albion,1,25.29,25.29,25.29
SOLITON,70288,Hankinson Renewable Energy LLC,"Guardian Energy, LLC",ND,Hankinson,1,26.0,26.0,26.0
SOLITON,70289,Guardian Energy LLC,"Guardian Energy, LLC",MN,Janesville,1,24.5,24.5,24.5
