epm,status,ca_facility_id,frs_id,ownership,plant_name,state,city,latitude,longitude,rail_lines,ethanol_capacity_mgy,dryer_types,technology,special_tech,wind_turbine,waste_heat,high_pro,chp,white_fox,icm_p10,reg_pathway,year_build,co2_pipeline_direct,co2_pipeline_3rd_party,co2_sponsor,d6_non_cellulosic,d3_cellulosic,facility_id_key,frs_id_key,epa_facility_name,epa_subparts,epa_sectors,epa_total_direct_emissions_mtco2e,epa_co2_non_biogenic_mt,epa_ch4_mtco2e,epa_n2o_mtco2e,epa_biogenic_co2_mt,epa_stationary_combustion_mtco2e,epa_electricity_generation_mtco2e,epa_co2_collected_onsite_flag,epa_co2_transferred_offsite_flag,epa_cem_flag
3572,Active,,110071162387.0,BioUrja,Biourja Renewables LLC,IL ,Peoria,40.6776,-89.6069,UP,61.0,Rotary Dryer,ADM,,,,,,,,,1982.0,,,,D6,-,,110071162387,BioUrja Renewables LLC,C,Other,269842.684,269564.3,127.0,151.384,,269842.684,,N,N,N
3573,Active,,,Harvestone,Blue Flint Ethanol LLC,ND ,Underwood,47.377226,-101.152303,UP,75.7,Rotary Dryer,ICM,,,,,CHP,,,,2007.0,Direct,,Direct Inject,D6,-,,,,,,,,,,,,,,,
3576,Active,70109,110024871183.0,Bushmills Ethanol Inc.,Bushmills Ethanol Inc,MN ,Atwater,45.07333,-94.755556,BNSF,90.0,Rotary Dryer,ICM,,,,,,,,EP3,2005.0,,,Summit Carbon Solutions,D6,D3,70109,110024871183,BUSHMILLS ETHANOL INC.,C,Other,113085.224,112968.5,53.25,63.474,,113085.224,,N,N,N
3578,Active,,110025336580.0,Carbon Green Bioenergy,Carbon Green Bioenergy LLC,MI ,Lake Odessa,42.76601,-85.07428,CSX,59.0,Rotary Dryer,ICM,,,,,,,,EP3,2006.0,,,,D6,D3,,110025336580,CARBON GREEN BIOENERGY,"C,II","Other,Waste",80617.642,80502.0,69.75,45.892,197.4,80586.142,,N,N,N
3579,Active,,110037115680.0,Cardinal Ethanol,Cardinal Ethanol LLC,IN ,Union City,40.18682,-84.86226,CSX,136.0,Rotary Dryer,ICM,,,,ICM HI PRO,,,,EP3,2008.0,,,,D6,D3,,110037115680,"CARDINAL ETHANOL, LLC","C,II,PP","Other,Suppliers of CO2,Waste",166670.372,166498.3,78.5,93.572,,166670.372,,N,N,N
3580,Active,,,Cargill,Cargill Inc,NE ,Blair,41.544697,-96.13507,UP,210.0,,Vogelbusch,,,,,,,,,1995.0,,,,D6,-,,,,,,,,,,,,,,,
3581,Active,,110055498527.0,Cargill,Cargill Inc,IA ,Eddyville,41.55,-92.6343,UP/BNSF,71.0,,Wet Mill,,,,,CHP,,,,0.0,,,,D6,-,,110055498527,"Cargill, Incorporated",C,Other,233854.62,233613.5,110.0,131.12,,233854.62,,N,N,N
3582,Active,,110055498527.0,Cargill,Cargill Inc,IA ,Fort Dodge,42.506334,-94.313203,UP/CN,130.0,,Wet Mill,,,,,,,,,2013.0,,,,D6,-,,110055498527,"Cargill, Incorporated",C,Other,233854.62,233613.5,110.0,131.12,,233854.62,,N,N,N
3583,Active,,110030482047.0,Central Indiana Ethanol,Central Indiana Ethanol,IN ,Marion,40.56492,-85.72772,NS,50.0,Rotary Dryer,ICM,,,,,,,,,2007.0,,,,D6,-,,110030482047,"CENTRAL INDIANA ETHANOL, LLC","C,PP","Other,Suppliers of CO2",138982.876,138839.3,65.5,78.076,,138982.876,,N,N,N
3584,Active,70095,110018859467.0,Central Indiana Ethanol,CIE Norfolk GNS LLC,NE ,Norfolk,42.06672,-97.3815,NCRC/WC1s,60.0,Rotary Dryer,ICM,,,,,,,,EP3,2007.0,,,,D6,-,70095,110018859467,"CIE Norfolk GNS, LLC",C,Other,61153.62,61090.6,28.75,34.27,,61153.62,,N,N,N
