epm,status,ca_facility_id,frs_id,ownership,plant_name,state,city,latitude,longitude,rail_lines,ethanol_capacity_mgy,dryer_types,technology,special_tech,wind_turbine,waste_heat,high_pro,chp,white_fox,icm_p10,reg_pathway,year_build,co2_pipeline_direct,co2_pipeline_3rd_party,co2_sponsor,d6_non_cellulosic,d3_cellulosic,facility_id_key,frs_id_key,epa_facility_name,epa_subparts,epa_sectors,epa_total_direct_emissions_mtco2e,epa_co2_non_biogenic_mt,epa_ch4_mtco2e,epa_n2o_mtco2e,epa_biogenic_co2_mt,epa_stationary_combustion_mtco2e,epa_electricity_generation_mtco2e,epa_co2_collected_onsite_flag,epa_co2_transferred_offsite_flag,epa_cem_flag
3720,Active,,110031001421.0,United WI Grain Producers,United Wisconsin Grain Producers LLC,WI ,Friesland,43.5706,-89.0613,UP,71.0,Rotary Dryer,ICM,,,,FQPT HI PRO,,,,EP3,0.0,,,,D6,D3,,110031001421,UNITED WISCONSIN GRAIN PRODUCERS LLC,C,Other,86983.472,86893.6,41.0,48.872,,86983.472,,N,N,N
3724,Active,,110043805585.0,Valero Renewables,Valero Renewable Fuels LLC,OH ,Bloomingburg,39.597501,-83.390444,IORY/CSX/NS/CN,140.0,Rotary Dryer,ICM,,,,,,,,EP3,2007.0,,,,D6,D3,,110043805585,Valero Bloominburg Plant,C,Other,196763.96,196561.2,92.5,110.26,,196763.96,,N,N,N
3725,Active,,110058503132.0,Valero Renewables,Valero Renewable Fuels LLC,IN ,Bluffton,40.722139,-85.193722,NS,140.0,Rotary Dryer,ICM,,,,,,,,EP3,2008.0,,,,D6,D3,,110058503132,"Valero Renewable Fuels, LLC d/b/a Valero Bluffton Plant",C,Other,180313.272,180127.5,84.75,101.022,,180313.272,,N,N,N
3729,Active,,110006529729.0,Valero Renewables,Valero Renewable Fuels LLC,IA ,Lakota,43.38391,-94.14706,UP,110.0,Rotary Dryer,ICM,,,,,,,,,2002.0,,SCS,Summit Carbon Solutions,D6,-,,110006529729,Valero Lakota Plant,"C,PP","Other,Suppliers of CO2",111808.828,111693.2,52.75,62.878,,111808.828,,N,N,N
3731,Active,,110039173854.0,Valero Renewables,Valero Renewable Fuels LLC,IN ,Mount Vernon,37.934,-87.8727,CSX,100.0,Ring Dryer,Delta-T,,,,,,,,,2007.0,,,,,,,110039173854,Green Plains Mount Vernon LLC,C,Other,133620.796,133482.7,63.0,75.096,,133620.796,,N,N,N
3732,Active,,,"Zeeland Farm Services, Inc",ZFS Riga LLC,MI ,Riga,41.8166,-83.836001,ADBF/IORY/NS,,Ring Dryer,Delta-T,,,,,,,,,2007.0,,,,,,,,,,,,,,,,,,,,
3734,Active,,110024891027.0,Verbio,Verbio,IA ,Nevada,42.024244,-93.518659,UP,60.0,,Verbio,,,,,,,,,2024.0,,,,,,,110024891027,LINCOLNWAY ENERGY LLC,C,Other,101231.568,101126.9,47.75,56.918,,101231.568,,N,N,N
3735,Active,,110032965548.0,Western New York Energy,Western New York Energy LLC,NY ,Medina,43.210491,-78.365416,CSX,62.0,Rotary Dryer,ICM,,,,,,,,EP3,2008.0,,,,D6,-,,110032965548,WESTERN NEW YORK ENERGY LLC,"C,PP","Other,Suppliers of CO2",82821.588,82736.1,39.0,46.488,,82821.588,,N,N,N
3755,Active,,110056935385.0,Clonbio/Pannonia,Aztalan Bio LLC,WI ,Johnson Creek,43.0403847505437,-88.7961769806411,UP,106.0,Ring Dryer,Delta-T,,,,Front End Frac,,,,,2006.0,,,,D6,-,,110056935385,Aztalan Bio LLC,"C,PP","Other,Suppliers of CO2",15063.344,15048.0,7.0,8.344,,15063.344,,N,N,N
3757,Active,,,Crysalis Biosciences,Crysalis Biosciences,IL ,Sauget ,38.595413,-90.176648,CSX,57.0,Ring Dryer,Delta-T,,,,,,,,,2010.0,,,,D6,-,,,,,,,,,,,,,,,
3758,Startup,,,Gevo,Gevo,SD ,Lake Preston,44.362778 ,-97.375,RCPE/BNSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3759,Startup,,,LanzaJet,LanzaJet,GA,Soperton,,,GC,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,
3760,Startup,,,New Energy Blue,New Energy Blue,IA ,,,,IATR/up,18555.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3761,Startup,,,Sumitomo Corporation of Americas,Sumitomo Corporation of Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3762,Active,,,AE Innovation,AE Innovation,MN ,Luverne,43.6474487685906,-96.2248918435399,MSR/BNSF,,,Unknown,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD-02,Active,,,Attis Industries Inc.,Attis Industries Inc.,NY ,Fulton,43.3,-76.381,CSX,,,Unknown,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
SD-07,Active,,,Red River Energy,Red River Energy,ND ,Grand Forks,47.9439737609467,-97.0851760097759,BNSF,,,Unknown,,,,,,,,,2020.0,,,,,,,,,,,,,,,,,,,,
SD-08,Active,,,Tyton NC Biofuels,Tyton NC Biofuels,NC ,Raeford,34.946728,-79.144518,CSX/NS,,,Katzen,,,,,,,,,2010.0,,,,,,,,,,,,,,,,,,,,
