dryer_types,count,avg_btu_per_gal,median_btu_per_gal,min_btu_per_gal,max_btu_per_gal,std_btu_per_gal
Rotary Dryer,62,21403.854158606482,22001.27914223763,12946.439502450055,28433.512465672284,3831.697341610515
Ring Dryer,32,22595.470199884137,23554.87532762384,13997.901028485272,30199.52255308456,4160.212756325482
Unknown,6,23017.99315322013,23913.204868627603,13334.8609701644,32607.51817349631,6657.904273737606
Steam Tube Dryer,1,21198.55258198266,21198.55258198266,21198.55258198266,21198.55258198266,
